admission date,roll no,full name,class name,section name,dob,admission no,email,mobile,gender,special disability,category name,financial year,school staff,status,father name,mid session,month name
4/4/2023,1,Umesh Kumar,I,B,1/1/2019,Reg/2023/001,umesh@mail.com,98765432112,male,no ,General,2023-2024,no ,active,sumesh kumar,yes,August
4/4/2023,4,Rohit Kumar,I,A,1/1/2019,Reg/2023/002,rohit@mail.com,98765432112,male,no ,SC,2023-2024,no ,active,a,no,April
4/4/2023,3,Prashant ,I,A,1/1/2019,Reg/2023/003,pks@mail.com,98765432112,male,yes,ST,2023-2024,no ,active,b,no,April
4/4/2023,1,Imran ,I,D,1/1/2019,Reg/2023/004,imran@mail.com,98765432112,male,no ,OBC,2023-2024,yes,active,c,no,April
4/4/2023,1,Imran ,II,D,1/1/2019,Reg/2023/004,imran@mail.com,98765432112,male,no ,OBC,2023-2024,yes,active,d,no,April
4/4/2023,1,Umesh Kumar,II,B,1/1/2019,Reg/2023/005,umesh123@mail.com,98765432112,male,no ,General,2023-2024,no ,active,rohit kumar,no,April
4/4/2023,1,Rohit Kumar,I,A,1/1/2019,Reg/2023/006,rohit123@mail.com,98765432112,male,no ,SC,2023-2024,no ,active,e,no,April
4/4/2023,1,Prashant ,I,C,1/1/2019,Reg/2023/007,prashant@mail.com,98765432112,male,yes,ST,2023-2024,no ,active,f,no,April
4/4/2023,1,Imran ,II,C,1/1/2019,Reg/2023/008,im@mail.com,98765432112,male,no ,OBC,2023-2024,yes,active,g,no,April
4/4/2023,1,Shyam,II,A,1/1/2019,Reg/2023/009,sh@mail.com,98765432112,male,no ,OBC,2023-2024,yes,active,h,no,April
4/4/2023,1,Ram ,II,D,1/1/2019,Reg/2023/010,ram@mail.com,98765432112,male,no ,OBC,2023-2024,yes,active,i,no,April
